échoppes	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
réflexive	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
bourreaux	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
moteur	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
combler	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
quelconque	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
échappe	-1.07672733605	6	2	6	2	10.0056245492	8.93319885504	0.131704165946
progrès	0.83362285806	18	15	16	14	7.19826962714	7.51816135576	0.5064355568
sylvain	-0.588622038268	6	3	6	3	9.42066204847	8.93319885504	0.05
laquelle	0.593037870223	52	40	52	40	5.68369645431	5.81772163762	0.270650162708
souci	-0.15917582843	15	10	15	10	7.68369645431	7.61127076015	0.131704165946
omniprésent	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
sentir	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
rhétoriques	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
raisonné	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
durée	-1.31385546619	7	2	7	2	10.0056245492	8.7108064337	0.186879431433
dizaine	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
terreur	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
croissant	0.588653724293	8	7	8	7	8.19826962714	8.51816135576	0.5064355568
inscrivit	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
bourdieusienne	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
convoque	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
erreurs	-0.409905646265	7	4	7	4	9.00562454919	8.7108064337	0.0647718639657
accéder	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
afin_d'	0.104315260929	11	8	11	8	8.00562454919	8.05872973712	0.204649063378
mentionne	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
enjeux	-0.142360711311	28	19	28	19	6.75769703575	6.7108064337	0.144071783957
parcours	0.262688495825	20	15	20	15	7.09873395359	7.19623326087	0.238721875541
belle	-2.0142594236	15	4	15	4	9.00562454919	7.61127076015	0.213359258059
traducteur	0.0420692636956	7	5	7	5	8.68369645431	8.7108064337	0.186879431433
dethorey	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
injonction	0.165797644609	8	6	8	6	8.42066204847	8.51816135576	0.238721875541
amis	-0.701466344768	13	7	13	7	8.19826962714	7.81772163762	0.0542725479151
jack	0.752945826645	10	9	10	9	7.83569954775	8.19623326087	0.581004406411
autonomie	1.13303699505	16	15	16	15	7.09873395359	7.51816135576	0.712709933383
édifice	-1.33914605519	5	1	5	1	11.0056245492	9.19623326087	0.328071905113
réduire	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
office	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
peur	0.104315260929	11	8	11	8	8.00562454919	8.05872973712	0.204649063378
%26lindsay	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
nouvelle	-0.920306889804	51	30	49	29	6.14764355407	5.90345151164	0.0744740488735
bocage	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
agacement	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
